Waste Type,Total Generated ('000 tonnes),Total Recycled ('000 tonnes)
Construction& Demolition,1624,1618
Ferrous Metal,1269,126
Paper/Cardboard,1054,586
Plastics,949,41
Food,763,126
Wood,521,428
Horticultural,320,227
Ash & Sludge,240,25
Textile/Leather,220,14
Used Slag,181,179
Non-Ferrous Metal,171,170
Glass,64,12
Scrap Tyres,32,29
"Others (stones, ceramic, rubber, ect)",286,11
