Waste Type,Total Generated ('000 tonnes),Total Recycled ('000 tonnes)
Paper/Cardboard,1144,432
Ferrous metal,934,930
Plastics,868,36
Construction & Demolition,825,822
Food,665,126
Horticultural,313,249
Wood,304,195
Ash & sludge,228,16
Textile/Leather,137,6
Used slag,106,104
Non-ferrous metal,75,73
Glass,66,7
Scrap tyres,23,22
"Others (stones, ceramics, etc.)",193,21
